83   LINKNO	Slope	Length	AreaKM2
49	0.004495805	1708.7	2.851292
0	0.008613901	13755.5	19.3620146
25	0.008985336	6607.4	11.4133202
17	0.009026781	10188.2	21.0589814
9	0.006550436	4785.8	3.3769018
1	0.010686333	5367	8.2423582
179	0.001240254	16811.3	30.596032
90	0.001789091	5105.1	4.324864
171	0.002082555	2852.2	2.778496
82	0.007506917	741.9	0.354744
67	0.004226444	9048.6	17.548664
52	0.009742976	8133.6	11.8493748
57	0.002922827	15490.9	27.018236
33	0.011925359	3790.8	4.5248178
26	0.007479421	4883.5	9.7745003
98	0	371.6	0.133312
163	0.001622206	4308.3	6.293568
155	0.000600927	1656.9	1.587456
147	0.002187786	3062.2	4.356352
139	0.000681011	1714	1.430976
164	0.00187803	7497.1	13.686592
123	0.000790598	3773.3	5.872992
140	0.001094052	2170.4	3.001184
68	0.006071231	25579.1	61.8815133
124	0.003746622	5699.9	9.327458
99	0.003275047	3307.7	2.274128
91	0.00212751	3002	8.116816
83	0.004484573	11017.7	19.557332
12	0.010854982	8462.1	9.8141498
84	0.005924432	9557.9	11.2791704
74	0.002910759	14205.4	56.621668
18	0.008250272	10916.4	12.8351204
44	0.006165823	11439.4	13.9001662
108	0.003572146	6490.1	6.158327
41	0.005147032	9070.7	14.978398
59	0.003970709	4463.5	7.665654
51	0.013164252	283.8	0.109609
43	0.00590569	3020.5	2.92528
28	0.010228539	7695.9	15.1746316
36	0.012750689	4298.6	7.8877093
42	0.007400812	9273.8	12.9276979
2	0.012568851	7073.8	9.6859526
10	0.013355641	4550.7	8.9045889
34	0.016185076	3181.6	2.7514819
58	0.015215554	3840.8	2.6229182
50	0.00887517	6471.3	14.0173753
66	0.00813093	5671.2	12.8102135
35	0.01030609	3544.3	2.7751983
19	0.014049144	3800.1	4.1450787
11	0.008852048	6039.2	11.5299802
3	0.008014862	4747.4	10.269342
156	0.002924595	1273.6	2.652864
46	0.002004126	12231.6	28.11376
131	0.002218967	5624.4	8.455424
115	0.003337007	3923.1	4.881216
132	0.00262898	2260.4	2.066632
107	0.004294073	8429.2	14.3799
116	0.006043881	4061.7	6.63458
4	0.008651358	6306.7	10.7439465
75	0.004727318	14214.4	22.110012
100	0.004138456	5876.4	9.588888
37	0.00475502	5658.3	8.6172444
5	0.005474181	10433.6	14.7839043
13	0.007495812	5647.2	18.0703349
45	0.006440041	4710.2	5.9288539
92	0.009720324	7482.6	11.3030702
76	0.008291594	8223.9	13.2893054
60	0.012099388	3744.7	3.7510552
20	0.012276656	3520.3	4.9477774
69	3.73359E-05	2458.7	2.435296
148	0.004145151	1904.2	1.183552
6	0.00977543	5542.5	7.3085322
27	0.009228038	6103.9	8.1458438
53	0.006682103	6713.1	18.3882639
29	0.008850873	6939.4	8.0123355
38	0.005316752	2868.8	3.373216
30	0.003740679	1391.9	3.170688
22	0.00223166	9936.6	17.00192
77	0.002141385	9777.1	15.973664
61	0.010078393	532.3	0.140468
7	0.004570927	14709.3	22.1086439
21	0.006933634	4298.6	4.0001242
14	0.007237776	11721.7	24.5824871
