Id, Stage_m, Number of Cells, ReachWetArea_m2, ReachBedArea_m2, ReachVolume_m3, ReachSlope, ReachLength_m, CatchArea_m2, CrossSectionalArea_m2, WetPerimeter_m, HydRadius_m, Manning_n, Flow_m3s
3,0.100000,230,21044.530326,21045.092649,1813.854332,0.0044958050,1708.700000,2849407.191383,1.061541,12.316435,0.086189,0.050000,0.277761
3,0.200000,302,27632.383392,27633.579981,4229.655506,0.0044958050,1708.700000,2849407.191383,2.475365,16.172283,0.153062,0.050000,0.949842
3,0.500000,428,39161.141948,39168.364772,14318.173766,0.0044958050,1708.700000,2849407.191383,8.379571,22.922903,0.365555,0.050000,5.745004
3,1.000000,589,53892.339216,53926.958387,37736.518441,0.0044958050,1708.700000,2849407.191383,22.084929,31.560226,0.699771,0.050000,23.343556
3,2.000000,958,87655.152234,87836.860895,108015.190040,0.0044958050,1708.700000,2849407.191383,63.214836,51.405666,1.229725,0.050000,97.302671
3,5.000000,3336,305237.610106,305933.350286,656527.527928,0.0044958050,1708.700000,2849407.191383,384.226329,179.044508,2.145982,0.050000,857.244936
3,10.000000,6827,624658.721078,626129.363244,3086636.105541,0.0044958050,1708.700000,2849407.191383,1806.423659,366.436100,4.929710,0.050000,7016.721647
10,0.100000,1312,120051.123044,120058.993959,9997.373943,0.0090267810,10188.200000,21044677.282527,0.981270,11.784122,0.083271,0.040000,0.444450
10,0.200000,1931,176691.796182,176704.498855,24759.661691,0.0090267810,10188.200000,21044677.282527,2.430229,17.344035,0.140119,0.040000,1.557226
10,0.500000,3921,358782.071615,358842.591836,105701.316867,0.0090267810,10188.200000,21044677.282527,10.374877,35.221393,0.294562,0.040000,10.909554
10,1.000000,7106,650216.824147,650420.983423,358295.282974,0.0090267810,10188.200000,21044677.282527,35.167673,63.840618,0.550867,0.040000,56.132509
10,2.000000,13335,1220184.491150,1220787.139690,1290223.914093,0.0090267810,10188.200000,21044677.282527,126.639045,119.823633,1.056879,0.040000,312.097901
10,5.000000,37148,3399136.677480,3401180.004216,7999941.105701,0.0090267810,10188.200000,21044677.282527,785.216339,333.835222,2.352108,0.040000,3298.632281
10,10.000000,79907,7311713.238972,7315931.158132,34942889.472407,0.0090267810,10188.200000,21044677.282527,3429.741218,718.078871,4.776274,0.040000,23104.360412
1,0.100000,1396,127712.756374,127721.400144,11933.021400,0.0086139010,13755.500000,19343407.825543,0.867509,9.285115,0.093430,0.050000,0.331560
1,0.200000,1845,168789.890359,168802.792956,26678.140954,0.0086139010,13755.500000,19343407.825543,1.939453,12.271658,0.158043,0.050000,1.052349
1,0.500000,3362,307572.729423,307651.901891,98441.672448,0.0086139010,13755.500000,19343407.825543,7.156532,22.365737,0.319977,0.050000,6.214585
1,1.000000,5573,509845.926078,510185.243846,302650.910196,0.0086139010,13755.500000,19343407.825543,22.002174,37.089546,0.593218,0.050000,28.834002
1,2.000000,10946,1001396.410017,1002667.294867,1052666.386280,0.0086139010,13755.500000,19343407.825543,76.526945,72.892101,1.049866,0.050000,146.734953
1,5.000000,33966,3107404.090007,3111310.705964,7056543.495248,0.0086139010,13755.500000,19343407.825543,512.997964,226.186668,2.268029,0.050000,1643.783695
1,10.000000,65837,6023128.234919,6030435.522963,30299444.881329,0.0086139010,13755.500000,19343407.825543,2202.714905,438.401768,5.024421,0.050000,11994.409905
2,0.100000,700,64043.482427,64045.315728,5200.257668,0.0065504360,4785.800000,3376901.956100,1.086602,13.382364,0.081197,0.050000,0.329807
2,0.200000,1170,107044.255563,107049.582276,13562.899119,0.0065504360,4785.800000,3376901.956100,2.833988,22.368169,0.126697,0.050000,1.157199
2,0.500000,2289,209422.571106,209449.054079,61060.465144,0.0065504360,4785.800000,3376901.956100,12.758675,43.764690,0.291529,0.050000,9.080124
2,1.000000,3969,363127.223040,363210.670381,204241.474218,0.0065504360,4785.800000,3376901.956100,42.676559,75.893408,0.562322,0.050000,47.062831
2,2.000000,7052,645193.451589,645435.846301,709449.478656,0.0065504360,4785.800000,3376901.956100,148.240520,134.864776,1.099179,0.050000,255.570637
2,5.000000,18624,1703923.104821,1704537.945107,4182199.530244,0.0065504360,4785.800000,3376901.956100,873.876788,356.165729,2.453568,0.050000,2573.242328
2,10.000000,32931,3012869.673238,3013725.814360,16365178.048495,0.0065504360,4785.800000,3376901.956100,3419.528198,629.722474,5.430215,0.050000,17100.518809
11,0.100000,2020,184857.639899,184862.878019,15438.219219,0.0029228270,15490.900000,27002293.117234,0.996599,11.933643,0.083512,0.040000,0.257352
11,0.200000,2545,232901.454280,232911.714522,36343.782131,0.0029228270,15490.900000,27002293.117234,2.346138,15.035389,0.156041,0.040000,0.919082
11,0.500000,3946,361114.114739,361183.953307,125967.349373,0.0029228270,15490.900000,27002293.117234,8.131700,23.315879,0.348762,0.040000,5.445561
11,1.000000,5951,544601.691894,544956.840163,353755.169834,0.0029228270,15490.900000,27002293.117234,22.836321,35.179159,0.649143,0.040000,23.139901
11,2.000000,9049,828113.345916,829653.938451,1041471.789964,0.0029228270,15490.900000,27002293.117234,67.231200,53.557504,1.255309,0.040000,105.741657
11,5.000000,21361,1954861.451594,1963642.896789,5043151.872116,0.0029228270,15490.900000,27002293.117234,325.555770,126.761060,2.568263,0.040000,825.201454
11,10.000000,60868,5570470.257144,5592219.814888,23215253.267206,0.0029228270,15490.900000,27002293.117234,1498.638121,361.000317,4.151348,0.040000,5231.960632
