CatchId, Stage, Number of Cells, SurfaceArea (m2), BedArea (m2), Volume (m3), SLOPE, LENGTHKM, AREASQKM
49, 0.100000, 230, 21044.530326, 21045.092649, 1813.854331, 0.0044958050, 1708.700000, 2.851292
49, 0.200000, 302, 27632.383392, 27633.579981, 4229.655505, 0.0044958050, 1708.700000, 2.851292
49, 0.500000, 428, 39161.141948, 39168.364772, 14318.173765, 0.0044958050, 1708.700000, 2.851292
49, 1.000000, 589, 53892.339216, 53926.958387, 37736.518446, 0.0044958050, 1708.700000, 2.851292
49, 2.000000, 958, 87655.152234, 87836.860895, 108015.190056, 0.0044958050, 1708.700000, 2.851292
49, 5.000000, 3336, 305237.610106, 305933.350308, 656527.528336, 0.0044958050, 1708.700000, 2.851292
49, 10.000000, 6827, 624658.721078, 626129.363266, 3086636.098227, 0.0044958050, 1708.700000, 2.851292
0, 0.100000, 1396, 127712.756374, 127721.400144, 11933.021400, 0.0086139010, 13755.500000, 19.362015
0, 0.200000, 1845, 168789.890359, 168802.792956, 26678.140955, 0.0086139010, 13755.500000, 19.362015
0, 0.500000, 3362, 307572.729423, 307651.901891, 98441.672375, 0.0086139010, 13755.500000, 19.362015
0, 1.000000, 5573, 509845.926078, 510185.243846, 302650.910211, 0.0086139010, 13755.500000, 19.362015
0, 2.000000, 10946, 1001396.410017, 1002667.294845, 1052666.382685, 0.0086139010, 13755.500000, 19.362015
0, 5.000000, 33966, 3107404.090007, 3111310.705964, 7056543.443862, 0.0086139010, 13755.500000, 19.362015
0, 10.000000, 65837, 6023128.234920, 6030435.523073, 30299444.711894, 0.0086139010, 13755.500000, 19.362015
25, 0.100000, 900, 82354.251273, 82359.864425, 6999.318899, 0.0089853360, 6607.400000, 11.413320
25, 0.200000, 1242, 113649.063774, 113657.156669, 16842.462802, 0.0089853360, 6607.400000, 11.413320
25, 0.500000, 2233, 204330.309840, 204364.963836, 64670.490630, 0.0089853360, 6607.400000, 11.413320
25, 1.000000, 3671, 335913.887485, 336048.447620, 200258.328316, 0.0089853360, 6607.400000, 11.413320
25, 2.000000, 6354, 581420.627309, 581861.489541, 659080.408357, 0.0089853360, 6607.400000, 11.413320
25, 5.000000, 15764, 1442475.710059, 1443982.362583, 3673148.920014, 0.0089853360, 6607.400000, 11.413320
25, 10.000000, 30350, 2777145.147233, 2780927.816078, 14289499.229563, 0.0089853360, 6607.400000, 11.413320
17, 0.100000, 1312, 120051.123044, 120058.993959, 9997.373940, 0.0090267810, 10188.200000, 21.058981
17, 0.200000, 1931, 176691.796182, 176704.498855, 24759.661694, 0.0090267810, 10188.200000, 21.058981
17, 0.500000, 3921, 358782.071615, 358842.591814, 105701.316908, 0.0090267810, 10188.200000, 21.058981
17, 1.000000, 7106, 650216.824147, 650420.983380, 358295.283229, 0.0090267810, 10188.200000, 21.058981
17, 2.000000, 13335, 1220184.491150, 1220787.139646, 1290223.914816, 0.0090267810, 10188.200000, 21.058981
17, 5.000000, 37148, 3399136.677480, 3401180.004183, 7999941.070209, 0.0090267810, 10188.200000, 21.058981
17, 10.000000, 79907, 7311713.238971, 7315931.158099, 34942889.184537, 0.0090267810, 10188.200000, 21.058981
9, 0.100000, 700, 64043.482427, 64045.315728, 5200.257670, 0.0065504360, 4785.800000, 3.376902
9, 0.200000, 1170, 107044.255563, 107049.582276, 13562.899128, 0.0065504360, 4785.800000, 3.376902
9, 0.500000, 2289, 209422.571106, 209449.054079, 61060.465214, 0.0065504360, 4785.800000, 3.376902
9, 1.000000, 3969, 363127.223040, 363210.670392, 204241.474343, 0.0065504360, 4785.800000, 3.376902
9, 2.000000, 7052, 645193.451589, 645435.846312, 709449.478389, 0.0065504360, 4785.800000, 3.376902
9, 5.000000, 18624, 1703923.104821, 1704537.945096, 4182199.514270, 0.0065504360, 4785.800000, 3.376902
