FID,LINKNO,DSLINKNO,USLINKNO1,USLINKNO2,DSNODEID,strmOrder,Length,Magnitude,DSContArea,strmDrop,Slope,StraightL,USContArea,WSNO,DOUTEND,DOUTSTART,DOUTMID
0,49,57,17,0,-1.000000000000000,2,1708.700000000000000,2,43273664.000000000000000,7.680000000000000,0.004495804982000,1433.700000000000000,40422372.000000000000000,49,38520.599999999999000,40229.300000000003000,39375.000000000000000
1,0,49,-1,-1,-1.000000000000000,1,13755.500000000000000,1,19362564.000000000000000,118.489999999999990,0.008613900990000,10620.600000000000000,549.399999999999980,0,40229.300000000003000,53984.699999999997000,47107.000000000000000
2,25,41,-1,-1,-1.000000000000000,1,6607.399999999999600,1,11414419.000000000000000,59.369999999999997,0.008985336365000,5159.699999999999800,1098.800000000000000,25,57563.900000000001000,64170.800000000003000,60867.300000000003000
3,17,49,-1,-1,-1.000000000000000,1,10188.200000000001000,1,21059714.000000000000000,91.969999999999999,0.009026781360000,7242.699999999999800,732.600000000000020,17,40229.300000000003000,50417.000000000000000,45323.099999999999000
4,9,57,-1,-1,-1.000000000000000,1,4785.800000000000200,1,3379832.000000000000000,31.350000000000001,0.006550436314000,3791.199999999999800,2930.199999999999800,9,38520.599999999999000,43306.599999999999000,40913.599999999999000
5,1,41,-1,-1,-1.000000000000000,1,5367.000000000000000,1,8245380.000000000000000,57.350000000000001,0.010686333458000,4128.800000000000200,3021.800000000000200,1,57563.900000000001000,62931.099999999999000,60247.500000000000000
6,179,-1,98,44,-1.000000000000000,4,16811.299999999999000,42,894050112.000000000000000,20.850000000000001,0.001240254025000,9222.100000000000400,863454080.000000000000000,179,0.000000000000000,16811.299999999999000,8405.700000000000700
7,90,98,171,82,-1.000000000000000,4,5105.100000000000400,40,839642624.000000000000000,9.130000000000001,0.001789090795000,4246.899999999999600,835317760.000000000000000,90,17183.000000000000000,22288.200000000001000,19735.599999999999000
8,171,90,163,84,-1.000000000000000,4,2852.199999999999800,36,756746624.000000000000000,5.940000000000000,0.002082555206000,2359.800000000000200,753968128.000000000000000,171,22288.200000000001000,25140.400000000001000,23714.299999999999000
9,82,90,57,33,-1.000000000000000,2,741.899999999999980,4,78570888.000000000000000,5.570000000000000,0.007506917161000,677.700000000000050,78216144.000000000000000,82,22288.200000000001000,23030.099999999999000,22659.099999999999000
10,67,74,36,28,-1.000000000000000,2,9048.600000000000400,2,40615400.000000000000000,38.240000000000002,0.004226443577000,4768.800000000000200,23066736.000000000000000,67,117919.500000000000000,126967.700000000000000,122443.600000000010000
11,52,74,-1,-1,-1.000000000000000,1,8133.600000000000400,1,11853587.000000000000000,79.250000000000000,0.009742975864000,6210.300000000000200,4212.199999999999800,52,117919.500000000000000,126054.399999999990000,121987.000000000000000
12,57,82,49,9,-1.000000000000000,2,15490.900000000000000,3,73672280.000000000000000,45.280000000000001,0.002922827276000,8253.899999999999600,46654044.000000000000000,57,23030.099999999999000,38520.599999999999000,30775.400000000001000
13,33,82,-1,-1,-1.000000000000000,1,3790.800000000000200,1,4542857.000000000000000,45.210000000000001,0.011925358906000,2857.000000000000000,18039.200000000001000,33,23030.099999999999000,26820.900000000001000,24925.500000000000000
14,26,98,-1,-1,-1.000000000000000,1,4883.500000000000000,1,9775416.000000000000000,36.530000000000001,0.007479420645000,3704.500000000000000,915.700000000000050,26,17183.000000000000000,22066.200000000001000,19624.599999999999000
15,98,179,90,26,-1.000000000000000,4,371.600000000000020,41,849551488.000000000000000,0.000000000000000,0.000000000000000,346.399999999999980,849418176.000000000000000,98,16811.299999999999000,17183.000000000000000,16997.099999999999000
16,163,171,155,35,-1.000000000000000,4,4308.300000000000200,35,742686848.000000000000000,6.990000000000000,0.001622206384000,1669.000000000000000,736393280.000000000000000,163,25140.400000000001000,29448.599999999999000,27294.500000000000000
17,155,163,147,42,-1.000000000000000,4,1656.900000000000100,34,733614208.000000000000000,1.000000000000000,0.000600926580000,1299.700000000000000,732026752.000000000000000,155,29448.599999999999000,31105.400000000001000,30277.000000000000000
18,147,155,139,99,-1.000000000000000,4,3062.199999999999800,33,719098432.000000000000000,6.700000000000000,0.002187785577000,2291.599999999999900,714742080.000000000000000,147,31105.400000000001000,34167.400000000001000,32636.400000000001000
19,139,147,164,108,-1.000000000000000,4,1714.000000000000000,29,635156736.000000000000000,1.170000000000000,0.000681011339000,974.500000000000000,633725760.000000000000000,139,34167.400000000001000,35881.500000000000000,35024.500000000000000
20,164,139,156,132,-1.000000000000000,4,7497.100000000000400,27,613018560.000000000000000,14.080000000000000,0.001878030422000,4509.300000000000200,599331968.000000000000000,164,35881.500000000000000,43379.000000000000000,39630.300000000003000
21,123,131,140,66,-1.000000000000000,3,3773.300000000000200,8,253457376.000000000000000,2.980000000000000,0.000790597810000,1986.300000000000000,247584384.000000000000000,123,90846.500000000000000,94620.300000000003000,92733.399999999994000
22,140,123,100,115,-1.000000000000000,3,2170.400000000000100,7,232460656.000000000000000,2.370000000000000,0.001094052295000,1775.900000000000100,229459472.000000000000000,140,94620.300000000003000,96791.000000000000000,95705.699999999997000
23,68,115,-1,-1,-1.000000000000000,1,25579.099999999999000,1,61881788.000000000000000,155.300000000000010,0.006071230612000,14868.600000000000000,274.699999999999990,68,100714.600000000010000,126295.500000000000000,113505.100000000010000
24,124,107,116,60,-1.000000000000000,2,5699.899999999999600,3,35412784.000000000000000,21.359999999999999,0.003746621915000,4444.500000000000000,26085326.000000000000000,124,54069.000000000000000,59769.199999999997000,56919.099999999999000
25,99,147,83,3,-1.000000000000000,2,3307.699999999999800,4,79583552.000000000000000,10.830000000000000,0.003275047293000,1604.099999999999900,77309424.000000000000000,99,34167.400000000001000,37475.199999999997000,35821.300000000003000
26,91,115,74,19,-1.000000000000000,2,3002.000000000000000,4,121744096.000000000000000,6.390000000000000,0.002127509701000,2421.599999999999900,113627280.000000000000000,91,100714.600000000010000,103717.200000000000000,102215.899999999990000
27,83,99,41,18,-1.000000000000000,2,11017.700000000001000,3,67031748.000000000000000,49.409999999999997,0.004484573207000,6623.699999999999800,47474416.000000000000000,83,37475.199999999997000,48492.699999999997000,42984.000000000000000
28,12,107,-1,-1,-1.000000000000000,1,8462.100000000000400,1,9817080.000000000000000,91.859999999999999,0.010854981597000,6384.199999999999800,2930.199999999999800,12,54069.000000000000000,62531.400000000001000,58300.199999999997000
29,84,171,-1,-1,-1.000000000000000,1,9557.899999999999600,1,11279262.000000000000000,56.619999999999997,0.005924431821000,6724.800000000000200,91.599999999999994,84,25140.400000000001000,34698.199999999997000,29919.299999999999000
30,74,91,67,52,-1.000000000000000,2,14205.400000000000000,3,109091936.000000000000000,41.350000000000001,0.002910759412000,9234.399999999999600,52470268.000000000000000,74,103717.200000000000000,117919.500000000000000,110818.399999999990000
31,18,83,-1,-1,-1.000000000000000,1,10916.400000000000000,1,12835212.000000000000000,90.060000000000002,0.008250271572000,7432.000000000000000,91.599999999999994,18,48492.699999999997000,59409.699999999997000,53951.199999999997000
32,44,179,-1,-1,-1.000000000000000,1,11439.400000000000000,1,13901265.000000000000000,70.530000000000001,0.006165823198000,7226.100000000000400,1098.800000000000000,44,16811.299999999999000,28250.299999999999000,22530.799999999999000
33,108,139,45,37,-1.000000000000000,2,6490.100000000000400,2,20705432.000000000000000,23.180000000000000,0.003572145934000,3551.800000000000200,14547105.000000000000000,108,35881.500000000000000,42371.900000000001000,39126.699999999997000
34,41,83,25,1,-1.000000000000000,2,9070.700000000000700,2,34638656.000000000000000,46.689999999999998,0.005147031687000,6263.000000000000000,19660258.000000000000000,41,48492.699999999997000,57563.900000000001000,53028.300000000003000
35,59,75,43,11,-1.000000000000000,2,4463.500000000000000,3,33784952.000000000000000,17.719999999999999,0.003970709305000,2686.199999999999800,26119298.000000000000000,59,59853.599999999999000,64317.099999999999000,62085.400000000001000
36,51,75,58,2,-1.000000000000000,2,283.800000000000010,2,12639162.000000000000000,3.740000000000000,0.013164252304000,248.599999999999990,12529553.000000000000000,51,59853.599999999999000,60137.400000000001000,59995.500000000000000
37,43,59,10,34,-1.000000000000000,2,3020.500000000000000,2,14588494.000000000000000,17.840000000000000,0.005905690278000,2251.000000000000000,11663214.000000000000000,43,64317.099999999999000,67337.899999999994000,65827.500000000000000
38,28,67,-1,-1,-1.000000000000000,1,7695.899999999999600,1,15175822.000000000000000,78.719999999999999,0.010228539088000,5435.300000000000200,1190.400000000000100,28,126967.700000000000000,134663.799999999990000,130815.800000000000000
39,36,67,-1,-1,-1.000000000000000,1,4298.600000000000400,1,7890639.500000000000000,54.810000000000002,0.012750688997000,3418.699999999999800,2930.199999999999800,36,126967.700000000000000,131266.899999999990000,129117.300000000000000
40,42,155,-1,-1,-1.000000000000000,1,9273.799999999999300,1,12927881.000000000000000,68.629999999999995,0.007400811811000,6460.199999999999800,183.099999999999990,42,31105.400000000001000,40379.599999999999000,35742.500000000000000
41,2,51,-1,-1,-1.000000000000000,1,7073.800000000000200,1,9703534.000000000000000,88.909999999999997,0.012568851079000,5585.899999999999600,17581.400000000001000,2,60137.400000000001000,67211.399999999994000,63674.400000000001000
42,10,43,-1,-1,-1.000000000000000,1,4550.699999999999800,1,8904772.000000000000000,60.780000000000001,0.013355640990000,3723.800000000000200,183.099999999999990,10,67337.899999999994000,71888.399999999994000,69613.100000000006000
43,34,43,-1,-1,-1.000000000000000,1,3181.599999999999900,1,2753954.299999999800000,51.490000000000002,0.016185075729000,2772.500000000000000,2472.400000000000100,34,67337.899999999994000,70519.300000000003000,68928.600000000006000
44,58,51,-1,-1,-1.000000000000000,1,3840.800000000000200,1,2825836.299999999800000,58.439999999999998,0.015215553623000,3273.000000000000000,202918.100000000010000,58,60137.400000000001000,63978.300000000003000,62057.900000000001000
45,50,131,-1,-1,-1.000000000000000,1,6471.300000000000200,1,14019573.000000000000000,57.430000000000000,0.008875170309000,4382.300000000000200,2197.699999999999800,50,90846.500000000000000,97318.300000000003000,94082.399999999994000
46,66,123,-1,-1,-1.000000000000000,1,5671.199999999999800,1,15123352.000000000000000,46.109999999999999,0.008130929721000,4436.000000000000000,2313138.500000000000000,66,94620.300000000003000,100292.200000000000000,97456.300000000003000
47,35,163,-1,-1,-1.000000000000000,1,3544.300000000000200,1,2778128.500000000000000,36.530000000000001,0.010306090090000,2641.800000000000200,2930.199999999999800,35,29448.599999999999000,32992.800000000003000,31220.700000000001000
48,19,91,-1,-1,-1.000000000000000,1,3800.099999999999900,1,4535165.000000000000000,53.390000000000001,0.014049143680000,2934.500000000000000,390086.299999999990000,19,103717.200000000000000,107518.399999999990000,105617.800000000000000
49,11,59,-1,-1,-1.000000000000000,1,6039.199999999999800,1,11530438.000000000000000,53.460000000000001,0.008852048102000,4235.199999999999800,457.800000000000010,11,64317.099999999999000,70357.300000000003000,67337.199999999997000
50,3,99,-1,-1,-1.000000000000000,1,4747.399999999999600,1,10276576.000000000000000,38.049999999999997,0.008014862493000,3554.800000000000200,7234.000000000000000,3,37475.199999999997000,42222.400000000001000,39848.800000000003000
51,156,164,46,5,-1.000000000000000,3,1273.599999999999900,18,469119680.000000000000000,3.720000000000000,0.002924595377000,1166.400000000000100,466466816.000000000000000,156,43379.000000000000000,44652.699999999997000,44015.900000000001000
52,46,156,38,7,-1.000000000000000,3,12231.600000000000000,17,451681824.000000000000000,24.510000000000002,0.002004125740000,7092.000000000000000,423568064.000000000000000,46,44652.699999999997000,56884.400000000001000,50768.599999999999000
53,131,148,123,50,-1.000000000000000,3,5624.399999999999600,9,275934752.000000000000000,12.480000000000000,0.002218967288000,4175.600000000000400,267479328.000000000000000,131,85221.600000000006000,90846.500000000000000,88034.100000000006000
54,115,140,91,68,-1.000000000000000,2,3923.099999999999900,5,188507280.000000000000000,13.090000000000000,0.003337006872000,2619.699999999999800,183626064.000000000000000,115,96791.000000000000000,100714.600000000010000,98752.800000000003000
55,132,164,75,107,-1.000000000000000,3,2260.400000000000100,9,130211992.000000000000000,5.940000000000000,0.002628980212000,1813.599999999999900,128145360.000000000000000,132,43379.000000000000000,45639.400000000001000,44509.199999999997000
56,107,132,124,12,-1.000000000000000,2,8429.200000000000700,4,59610312.000000000000000,36.200000000000003,0.004294073446000,4456.300000000000200,45230412.000000000000000,107,45639.400000000001000,54069.000000000000000,49854.199999999997000
57,116,124,4,20,-1.000000000000000,2,4061.699999999999800,2,22330608.000000000000000,24.550000000000001,0.006043880662000,2817.800000000000200,15696028.000000000000000,116,59769.199999999997000,63831.199999999997000,61800.199999999997000
58,4,116,-1,-1,-1.000000000000000,1,6306.699999999999800,1,10745320.000000000000000,54.560000000000002,0.008651358208000,4949.899999999999600,1373.500000000000000,4,63831.199999999997000,70138.199999999997000,66984.699999999997000
59,75,132,59,51,-1.000000000000000,3,14214.400000000000000,5,68534768.000000000000000,67.200000000000003,0.004727317960000,9592.399999999999600,46424756.000000000000000,75,45639.400000000001000,59853.599999999999000,52746.500000000000000
60,100,140,13,76,-1.000000000000000,2,5876.399999999999600,2,40950176.000000000000000,24.320000000000000,0.004138455584000,3545.400000000000100,31361288.000000000000000,100,96791.000000000000000,102667.500000000000000,99729.199999999997000
61,37,108,-1,-1,-1.000000000000000,1,5658.300000000000200,1,8617336.000000000000000,26.910000000000000,0.004755020436000,3365.099999999999900,91.599999999999994,37,42371.900000000001000,48030.300000000003000,45201.099999999999000
62,5,156,-1,-1,-1.000000000000000,1,10433.600000000000000,1,14784179.000000000000000,57.119999999999997,0.005474181311000,6338.300000000000200,274.699999999999990,5,44652.699999999997000,55086.699999999997000,49869.699999999997000
63,13,100,-1,-1,-1.000000000000000,1,5647.199999999999800,1,18070518.000000000000000,42.329999999999998,0.007495811916000,3914.199999999999800,183.099999999999990,13,102667.500000000000000,108314.000000000000000,105490.700000000000000
64,45,108,-1,-1,-1.000000000000000,1,4710.199999999999800,1,5929678.000000000000000,30.329999999999998,0.006440040899000,3197.699999999999800,824.100000000000020,45,42371.900000000001000,47082.300000000003000,44727.099999999999000
65,92,148,-1,-1,-1.000000000000000,1,7482.600000000000400,1,11766870.000000000000000,72.730000000000004,0.009720323953000,5779.600000000000400,463799.799999999990000,92,85221.600000000006000,92703.800000000003000,88962.699999999997000
66,76,100,-1,-1,-1.000000000000000,1,8223.899999999999600,1,13289397.000000000000000,68.189999999999998,0.008291593729000,5737.899999999999600,91.599999999999994,76,102667.500000000000000,110891.300000000000000,106779.399999999990000
67,60,124,-1,-1,-1.000000000000000,1,3744.699999999999800,1,3752520.299999999800000,45.310000000000002,0.012099387874000,2649.699999999999800,1465.099999999999900,60,59769.199999999997000,63514.000000000000000,61641.599999999999000
68,20,116,-1,-1,-1.000000000000000,1,3520.300000000000200,1,4947869.000000000000000,43.219999999999999,0.012276655568000,2803.199999999999800,91.599999999999994,20,63831.199999999997000,67351.899999999994000,65591.500000000000000
69,69,77,148,27,-1.000000000000000,3,2458.699999999999800,11,299472992.000000000000000,0.090000000000000,0.000037335881000,2248.500000000000000,297037696.000000000000000,69,80858.699999999997000,83317.399999999994000,82088.000000000000000
