Threshold, DrainDen, NoFirstOrd,NoHighOrd, MeanDFirstOrd, MeanDHighOrd, StdDevFirstOrd, StdDevHighOrd, T
5.000000, 2.600098e-03, 2394, 729, 68.691010, 128.646576, 77.710274, 132.430161, -15.176928
8.340503, 1.957702e-03, 1239, 371, 88.713181, 147.549316, 99.124306, 142.494217, -8.987093
13.912798, 1.622408e-03, 824, 245, 100.623047, 162.180084, 104.181519, 153.861176, -7.204884
23.207947, 1.290646e-03, 481, 144, 117.487740, 188.351089, 109.078842, 165.318787, -6.003524
38.713192, 1.046937e-03, 308, 99, 118.610893, 213.769379, 107.467735, 171.588226, -6.536290
64.577492, 8.282648e-04, 197, 72, 117.083679, 215.004456, 125.489609, 166.168884, -5.171746
107.721756, 6.665160e-04, 112, 38, 160.808426, 239.083878, 153.113770, 162.634705, -2.680492
179.690720, 5.533681e-04, 77, 19, 195.285400, 269.439911, 165.066818, 156.966827, -1.770036
299.742188, 4.365431e-04, 52, 14, 200.697647, 255.433456, 136.855240, 168.146454, -1.264493
500.000153, 3.240242e-04, 32, 4, 209.430817, 289.485138, 151.132065, 135.973572, -1.007311
Optimum Threshold Value: 179.690720
